"id","publication_year","discipline","field","title","discovery_class","ai_role","human_role","evidence_stage","validation_tier","novelty_scope","reported_result","primary_source_url","supporting_source_url","caveat"
"BIO-2020-011","2020","Biomedical science","Antibiotic discovery","Halicin as a broad-spectrum antibacterial","drug-repurposing discovery","A deep neural network learned antibacterial activity and screened a repurposing library plus more than ten million purchasable molecules.","Researchers tested hits, named halicin, studied mechanism, and ran animal infection experiments.","in vitro and mouse models","A","new antibacterial function for an existing molecule","Halicin showed broad bactericidal activity and efficacy in mouse models of Clostridioides difficile and pan-resistant Acinetobacter baumannii; eight additional antibacterial hits emerged from 23 tested predictions.","https://doi.org/10.1016/j.cell.2020.01.021","https://www.broadinstitute.org/publications/broad627466","Halicin was an existing molecule repurposed for a newly identified function; it remains preclinical and is not an approved antibiotic."
"BIO-2023-012","2023","Biomedical science","Antibiotic discovery","Abaucin, a narrow-spectrum Acinetobacter baumannii antibiotic","drug-candidate and mechanism discovery","A neural network trained on roughly 7,500 screened compounds prioritized structurally distinct molecules.","Researchers performed susceptibility, resistance, genetic, mechanistic, and mouse-wound experiments.","in vitro, mechanism studies, and mouse model","A","new antibacterial candidate and target pathway","Abaucin selectively inhibited A. baumannii, implicated LolE-dependent lipoprotein trafficking, and reduced bacterial burden in a mouse wound model.","https://www.nature.com/articles/s41589-023-01349-8","https://doi.org/10.1038/s41589-023-01349-8","This is a preclinical lead, not a medicine proven safe or effective in humans."
"BIO-2023-013","2023","Biomedical science","Antibiotic discovery","Explainable-AI antibiotic class active against MRSA and VRE","new chemical-class discovery","Graph neural networks plus explainability filters screened more than twelve million compounds for predicted activity and low human-cell toxicity.","Researchers tested 283 compounds, analysed structure and resistance, and ran mouse infection models.","in vitro, resistance studies, and mouse models","A","new structural class of antibacterial candidates","The study identified a structurally distinct class active against methicillin-resistant Staphylococcus aureus and vancomycin-resistant enterococci, with low resistance frequency and reduced bacterial titres in mouse models.","https://www.nature.com/articles/s41586-023-06887-8","https://doi.org/10.1038/s41586-023-06887-8","The compounds are preclinical; explainability highlighted learned substructures but did not make the model or biological mechanism fully understood."
"BIO-2023-014","2023","Biomedical science","Ageing biology","BRD-K56819078 as a senolytic lead","drug-candidate discovery","A graph neural network trained on a 2,352-compound senolytic screen ranked more than 800,000 molecules.","Researchers tested prioritized compounds in cells and evaluated a lead in aged mice.","in vitro and aged-mouse validation","A","new senolytic candidate","Three drug-like senolytic candidates were validated; BRD-K56819078 reduced senescent-cell burden and senescence-associated gene expression in aged mouse kidneys.","https://www.nature.com/articles/s43587-023-00415-z","https://doi.org/10.1038/s43587-023-00415-z","Mouse and cell results do not establish rejuvenation, lifespan extension, safety, or efficacy in people."
"BIO-2024-015","2024","Biomedical science","Antimicrobial peptides","Antibiotic candidates reconstructed from extinct proteomes","candidate discovery from ancient sequence space","APEX machine-learning models mined 10,311,899 ancient protein sequences and prioritized encrypted antimicrobial peptides.","Researchers synthesized 69 candidates and performed microbiology and mouse infection experiments.","in vitro and mouse models","A","previously unknown peptide antibiotics from extinct organisms","The system predicted 37,176 broad-spectrum candidates, including 11,035 absent from living organisms; multiple synthesized leads were active in mouse infection models.","https://www.nature.com/articles/s41551-024-01201-x","https://doi.org/10.1038/s41551-024-01201-x","Most predicted peptides were not synthesized, and the validated leads remain preclinical."
"BIO-2025-016","2025","Biomedical science","Generative antibiotic design","NG1 and DN1 de novo antibiotics","AI-designed molecule discovery","Generative deep-learning systems searched more than ten million fragment combinations and designed chemically novel compounds.","Chemists synthesized 24 candidates; biologists tested activity, selectivity, mechanism, resistance, and mouse infection models.","in vitro and mouse models","A","de novo antibiotic structures and distinct mechanisms","Seven of 24 synthesized designs were selectively active; NG1 and DN1 reduced bacterial burden in mouse gonorrhoea and MRSA skin-infection models and acted through distinct mechanisms.","https://doi.org/10.1016/j.cell.2025.07.033","https://pubmed.ncbi.nlm.nih.gov/40816267/","These are early preclinical leads, not approved drugs; only a tiny fraction of the generated chemical space was synthesized."
"BIO-2025-017","2025","Biomedical science","Pulmonary fibrosis","TNIK and rentosertib for idiopathic pulmonary fibrosis","AI target and drug-candidate discovery","Generative AI contributed to identifying TNIK as a fibrosis target and designing the small-molecule inhibitor rentosertib.","Researchers performed preclinical studies and a 71-participant randomized phase 2a trial.","randomized phase 2a human trial","A","new therapeutic target and AI-designed clinical candidate","Over 12 weeks, the 60 mg once-daily arm showed a mean FVC change of +98.4 ml versus -20.3 ml for placebo, while the study primarily assessed safety and tolerability.","https://www.nature.com/articles/s41591-025-03743-2","https://doi.org/10.1038/s41591-025-03743-2","The trial was small and short, FVC was secondary, 16 of 71 participants withdrew, liver-related toxicity caused several discontinuations, and efficacy is not established."
"BIO-2026-018","2026","Biomedical science","Antibiotic discovery","MP20 and A1 against multidrug-resistant Neisseria gonorrhoeae","drug-candidate and mechanism discovery","A graph neural network trained on 38,650 measured molecules virtually screened about six million compounds.","Researchers tested 213 predictions, investigated mechanism, and used a human vagina-on-a-chip and mouse infection model.","in vitro, organ-on-chip, and mouse model","A","new selective antibacterial candidates and mechanism","Eighty-three of 213 tested predictions inhibited N. gonorrhoeae; MP20 and A1 were structurally unlike existing antibiotics, and A1 was shown to target alanine racemase.","https://doi.org/10.1126/scitranslmed.ads4699","https://pubmed.ncbi.nlm.nih.gov/42308330/","These are preclinical candidates and have not been shown safe or effective in human patients."
"BIO-2026-019","2026","Biomedical science","Cancer therapeutics","Co-Scientist acute myeloid leukaemia candidates","AI-generated therapeutic-hypothesis discovery","A multi-agent Gemini system searched and critiqued drug-repurposing and combination hypotheses under expert constraints.","Oncologists curated proposals and researchers performed independent dose-response experiments in cancer and control cell lines.","independent in vitro validation","A","new indication hypotheses and combinations","The system proposed active AML candidates and combinations; KIRA6 showed selective cytotoxicity with an approximately eighteen-fold separation between KG-1a AML and TK6 control cells.","https://www.nature.com/articles/s41586-026-10644-y","https://doi.org/10.1038/s41586-026-10644-y","Cell-line activity is preliminary; several hits had prior rationale, and none of the reported AML uses or combinations is clinically validated."
"BIO-2026-020","2026","Biomedical science","Liver fibrosis","Co-Scientist epigenetic targets and repurposing hypotheses for liver fibrosis","AI-generated target and drug-hypothesis discovery","A multi-agent system generated and ranked epigenetic target hypotheses and matching drugs.","Experts selected three hypotheses and researchers tested them in human hepatic organoids with live-cell imaging.","independent human-organoid validation","A","new target hypotheses and repurposed candidate uses","Two of three selected target-drug hypotheses showed significant anti-fibrotic activity without detected cellular toxicity; one effective drug was vorinostat.","https://www.nature.com/articles/s41586-026-10644-y","https://doi.org/10.1038/s41586-026-10644-y","Organoid results are not evidence of safety or efficacy in patients; one candidate is approved for a different indication only."
"BIO-2026-021","2026","Biomedical science","Ophthalmology","Ripasudil, KL001 and ABCA1 hypotheses for dry age-related macular degeneration","semi-autonomous therapeutic discovery","The Robin multi-agent system proposed drugs, requested analyses, interpreted returned results, and iterated its hypotheses.","Researchers selected the problem, performed cell experiments and RNA sequencing, and checked AI analyses against human analyses.","in vitro validation in cell lines and geriatric primary human RPE cells","A","new repurposing and mechanism hypotheses","Ripasudil enhanced retinal-pigment-epithelium phagocytosis, KL001 was identified as a previously unproposed enhancer, and RNA-seq supported ABCA1 upregulation.","https://www.nature.com/articles/s41586-026-10652-y","https://doi.org/10.1038/s41586-026-10652-y","The authors state that in vivo validation is still required; these are not validated treatments for dry AMD."
"GEN-2024-022","2024","Genomics and virology","Metatranscriptomic virology","LucaProt RNA-virus candidate atlas","large-scale biological sequence discovery","A deep-learning model identified highly divergent RNA-dependent RNA polymerases in 10,487 metatranscriptomes.","Researchers curated datasets, built phylogenies, and confirmed a subset with RT-PCR and RNA-versus-DNA sequencing.","published computational atlas with targeted molecular checks","B","putative new RNA-virus species and supergroups","The study reported 161,979 putative RNA-virus species across 180 supergroups; tens of thousands were described as previously unknown.","https://doi.org/10.1016/j.cell.2024.09.027","https://pubmed.ncbi.nlm.nih.gov/39389057/","These are sequence-defined putative species, not 161,979 isolated, cultured, or individually validated viruses."
"ECO-2024-023","2024","Ecology and animal behaviour","Bioacoustics","Contextual and combinatorial structure in sperm-whale codas","behavioural-pattern discovery","Machine-learning and statistical analyses modelled 8,719 codas from an Eastern Caribbean sperm-whale clan.","Researchers collected and annotated recordings and interpreted the discovered acoustic features.","observational analysis of recorded behaviour","A","previously undescribed communication structure","The analysis identified rubato and ornamentation and showed that rhythm, tempo, rubato and ornamentation combine contextually, greatly expanding distinguishable coda patterns.","https://www.nature.com/articles/s41467-024-47221-8","https://doi.org/10.1038/s41467-024-47221-8","The work did not translate whale language or establish the semantic meaning of codas, and it studied one social clan."
"NEU-2024-024","2024","Neuroscience","Connectomics","Whole adult Drosophila brain connectome","AI-enabled scientific atlas","Convolutional neural networks performed image alignment and initial neuron segmentation across electron-microscopy volumes.","A large community manually proofread segmentation and assigned biological annotations, estimated at about 33 person-years of work.","human-proofread anatomical reconstruction","A","first complete adult fly-brain wiring atlas at synaptic resolution","The atlas reconstructed 139,255 neurons and more than 50 million synapses, enabling circuit-wide biological analyses.","https://www.nature.com/articles/s41586-024-07558-y","https://pmc.ncbi.nlm.nih.gov/articles/PMC11446842/","This is a major AI-enabled map, not an autonomous AI discovery; proofreading and interpretation were deeply human."
"NEU-2025-025","2025","Neuroscience","Systems neuroscience","Higher-order like-to-like wiring rule in mouse visual cortex","connectivity-rule discovery","AI-assisted functional modelling linked visual responses to a dense electron-microscopy connectome and tested wiring hypotheses.","Researchers designed the experiments, imaged tissue and activity, reconstructed circuits, and interpreted connectivity statistics.","multimodal observation and statistical validation","A","new organizing rule for neural connectivity","Beyond pairwise like-to-like connectivity, neurons sharing downstream targets were more functionally similar than pairwise rules predicted, revealing higher-order network structure.","https://www.nature.com/articles/s41586-025-08840-3","https://doi.org/10.1038/s41586-025-08840-3","The result comes from a bounded mouse visual-cortex volume and should not be generalized to the whole brain or humans without further evidence."
